CaseID,Activity,startTime,endTime,security,IP,Operator,Department,cloud
2,write,7/6/2022 21:33,7/6/2022 21:36,2,BJ,zhang,c,B
2,modify,7/6/2022 21:39,7/6/2022 21:42,2,SH,zhao,a,A
2,rename,7/6/2022 21:49,7/6/2022 21:50,2,SH,zhao,a,B
2,write,7/6/2022 21:51,7/6/2022 21:54,2,BJ,liu,a,B
2,modify,7/6/2022 22:04,7/6/2022 22:07,2,SH,li,b,B
2,move,7/6/2022 22:10,7/6/2022 22:13,2,BJ,wang,b,A
2,rename,7/6/2022 22:13,7/6/2022 22:14,2,SH,zhao,c,A
2,modify,7/6/2022 22:18,7/6/2022 22:21,2,BJ,li,b,A
2,move,7/6/2022 22:29,7/6/2022 22:31,2,SH,li,b,B
2,rename,7/6/2022 22:36,7/6/2022 22:36,2,BJ,zhao,a,B
2,write,7/6/2022 22:40,7/6/2022 22:43,2,SH,zhang,c,A
2,rename,7/6/2022 22:51,7/6/2022 22:51,2,BJ,wang,c,A
2,modify,7/6/2022 22:54,7/6/2022 22:55,2,BJ,liu,b,A
2,move,7/6/2022 23:02,7/6/2022 23:05,2,BJ,li,b,B
2,modify,7/6/2022 23:07,7/6/2022 23:10,2,SH,zhao,c,B
2,move,7/6/2022 23:16,7/6/2022 23:17,2,BJ,li,a,A
2,read,7/6/2022 23:45,7/7/2022 0:09,2,SH,li,b,A
2,write,7/7/2022 0:14,7/7/2022 0:18,2,SH,liu,a,A
2,move,7/7/2022 0:28,7/7/2022 0:31,2,BJ,zhao,a,A
2,write,7/7/2022 0:38,7/7/2022 0:40,2,BJ,liu,c,A
2,rename,7/7/2022 0:47,7/7/2022 0:47,2,SH,li,c,A
2,read,7/7/2022 1:00,7/7/2022 1:13,2,SH,li,c,A
2,copy,7/7/2022 1:14,7/7/2022 1:15,2,SH,zhao,c,A
2,move,7/7/2022 1:22,7/7/2022 1:24,2,BJ,zhao,c,A
2,write,7/7/2022 1:28,7/7/2022 1:31,2,BJ,wang,b,A
2,move,7/7/2022 1:41,7/7/2022 1:44,2,SH,li,a,B
2,rename,7/7/2022 1:46,7/7/2022 1:46,2,SH,zhao,c,B
2,read,7/7/2022 2:04,7/7/2022 2:23,2,BJ,liu,a,A
2,modify,7/7/2022 2:27,7/7/2022 2:30,2,SH,li,a,B
2,write,7/7/2022 2:36,7/7/2022 2:39,2,SH,li,c,A
2,modify,7/7/2022 2:46,7/7/2022 2:49,2,SH,zhao,c,A
2,rename,7/7/2022 2:52,7/7/2022 2:52,2,SH,wang,c,A
2,modify,7/7/2022 2:59,7/7/2022 3:01,2,BJ,liu,c,B
2,rename,7/7/2022 3:09,7/7/2022 3:09,2,SH,zhao,c,B
2,read,7/7/2022 3:26,7/7/2022 3:48,2,SH,zhang,a,B
2,delete,7/7/2022 3:49,7/7/2022 3:49,2,SH,wang,a,A
3,create,7/7/2022 0:29,7/7/2022 0:31,3,BJ,wang,c,A
3,read,7/7/2022 0:54,7/7/2022 1:15,3,SH,zhang,c,B
3,write,7/7/2022 1:24,7/7/2022 1:27,3,SH,li,b,A
3,copy,7/7/2022 1:36,7/7/2022 1:37,3,SH,li,c,B
3,write,7/7/2022 1:45,7/7/2022 1:48,3,BJ,liu,a,B
3,copy,7/7/2022 1:50,7/7/2022 1:51,3,SH,zhao,a,B
3,rename,7/7/2022 1:56,7/7/2022 1:56,3,SH,zhang,b,A
4,create,7/7/2022 0:59,7/7/2022 1:00,3,BJ,zhang,a,B
4,copy,7/7/2022 1:01,7/7/2022 1:02,3,SH,wang,a,A
4,read,7/7/2022 1:11,7/7/2022 1:35,3,SH,liu,a,A
4,move,7/7/2022 1:45,7/7/2022 1:47,3,BJ,zhao,a,B
4,write,7/7/2022 1:49,7/7/2022 1:53,3,SH,wang,c,A
4,move,7/7/2022 1:56,7/7/2022 1:58,3,SH,li,a,A
4,write,7/7/2022 2:05,7/7/2022 2:09,3,SH,wang,a,A
4,modify,7/7/2022 2:14,7/7/2022 2:15,3,BJ,liu,b,B
4,copy,7/7/2022 2:19,7/7/2022 2:20,3,BJ,liu,c,B
4,read,7/7/2022 2:22,7/7/2022 2:41,3,SH,zhao,b,B
4,delete,7/7/2022 2:48,7/7/2022 2:48,3,SH,zhao,c,B
5,create,7/7/2022 2:17,7/7/2022 2:18,2,BJ,wang,b,B
5,copy,7/7/2022 2:21,7/7/2022 2:22,2,SH,wang,b,A
5,delete,7/7/2022 2:29,7/7/2022 2:29,2,BJ,liu,a,B
6,create,7/7/2022 8:37,7/7/2022 8:39,3,BJ,zhao,c,B
6,write,7/7/2022 8:43,7/7/2022 8:46,3,SH,li,b,B
6,move,7/7/2022 8:54,7/7/2022 8:57,3,BJ,wang,c,A
6,read,7/7/2022 9:07,7/7/2022 9:19,3,BJ,zhang,a,A
6,move,7/7/2022 9:22,7/7/2022 9:23,3,BJ,zhao,a,A
6,rename,7/7/2022 9:29,7/7/2022 9:29,3,SH,zhao,b,A
7,create,7/7/2022 12:43,7/7/2022 12:45,2,SH,zhao,c,B
7,modify,7/7/2022 12:48,7/7/2022 12:52,2,BJ,liu,a,B
7,write,7/7/2022 12:54,7/7/2022 12:58,2,SH,liu,b,B
7,read,7/7/2022 13:15,7/7/2022 13:25,2,SH,li,b,B
7,write,7/7/2022 13:33,7/7/2022 13:36,2,BJ,li,b,B
7,move,7/7/2022 13:37,7/7/2022 13:38,2,BJ,zhang,b,A
7,read,7/7/2022 13:54,7/7/2022 14:02,2,BJ,li,a,A
7,move,7/7/2022 14:05,7/7/2022 14:08,2,SH,li,b,B
7,write,7/7/2022 14:18,7/7/2022 14:21,2,SH,liu,c,A
7,modify,7/7/2022 14:23,7/7/2022 14:26,2,BJ,zhang,c,B
7,rename,7/7/2022 14:27,7/7/2022 14:28,2,SH,li,c,A
7,write,7/7/2022 14:32,7/7/2022 14:35,2,SH,wang,a,A
7,move,7/7/2022 14:43,7/7/2022 14:46,2,BJ,zhang,c,A
7,rename,7/7/2022 14:49,7/7/2022 14:49,2,SH,li,a,B
7,read,7/7/2022 14:53,7/7/2022 15:02,2,BJ,zhang,b,B
7,modify,7/7/2022 15:12,7/7/2022 15:15,2,BJ,zhao,a,B
7,rename,7/7/2022 15:19,7/7/2022 15:19,2,SH,zhang,a,B
7,read,7/7/2022 15:20,7/7/2022 15:37,2,BJ,zhang,c,A
7,write,7/7/2022 15:40,7/7/2022 15:43,2,BJ,zhao,a,B
7,copy,7/7/2022 15:49,7/7/2022 15:50,2,BJ,wang,a,A
7,read,7/7/2022 16:05,7/7/2022 16:22,2,BJ,wang,a,A
7,modify,7/7/2022 16:28,7/7/2022 16:31,2,BJ,li,b,B
7,write,7/7/2022 16:38,7/7/2022 16:41,2,BJ,zhao,b,A
7,rename,7/7/2022 16:45,7/7/2022 16:45,2,SH,zhang,c,B
7,modify,7/7/2022 16:55,7/7/2022 16:58,2,BJ,wang,b,A
7,rename,7/7/2022 17:04,7/7/2022 17:04,2,BJ,li,c,B
7,write,7/7/2022 17:14,7/7/2022 17:17,2,BJ,zhang,a,B
7,move,7/7/2022 17:25,7/7/2022 17:27,2,BJ,zhao,b,B
7,write,7/7/2022 17:28,7/7/2022 17:31,2,SH,wang,b,B
7,modify,7/7/2022 17:34,7/7/2022 17:36,2,SH,liu,c,A
7,copy,7/7/2022 17:44,7/7/2022 17:45,2,SH,liu,b,A
7,delete,7/7/2022 17:48,7/7/2022 17:48,2,BJ,li,c,A
8,create,7/7/2022 15:33,7/7/2022 15:34,3,SH,zhao,b,A
8,copy,7/7/2022 15:34,7/7/2022 15:35,3,BJ,li,a,B
8,modify,7/7/2022 15:36,7/7/2022 15:38,3,BJ,li,b,B
8,write,7/7/2022 15:47,7/7/2022 15:50,3,BJ,zhao,b,A
8,read,7/7/2022 15:51,7/7/2022 16:15,3,SH,wang,b,A
8,delete,7/7/2022 16:22,7/7/2022 16:22,3,SH,li,a,B
9,create,7/7/2022 18:54,7/7/2022 18:56,3,BJ,li,a,B
9,modify,7/7/2022 18:59,7/7/2022 19:01,3,BJ,liu,c,A
9,read,7/7/2022 19:16,7/7/2022 19:28,3,BJ,zhang,a,B
9,write,7/7/2022 19:28,7/7/2022 19:32,3,BJ,wang,c,B
9,move,7/7/2022 19:33,7/7/2022 19:35,3,BJ,zhao,a,B
9,read,7/7/2022 20:03,7/7/2022 20:26,3,SH,zhao,b,B
9,copy,7/7/2022 20:32,7/7/2022 20:32,3,BJ,li,b,A
9,delete,7/7/2022 20:37,7/7/2022 20:37,3,BJ,wang,b,B
10,create,7/9/2022 5:06,7/9/2022 5:08,2,SH,li,a,B
10,read,7/9/2022 5:15,7/9/2022 5:33,2,BJ,liu,c,B
10,modify,7/9/2022 5:44,7/9/2022 5:47,2,SH,li,b,B
10,copy,7/9/2022 5:48,7/9/2022 5:48,2,BJ,wang,b,B
10,delete,7/9/2022 5:54,7/9/2022 5:54,2,SH,li,a,A
11,create,7/9/2022 16:00,7/9/2022 16:02,3,BJ,zhang,b,B
11,read,7/9/2022 16:09,7/9/2022 16:19,3,SH,wang,a,A
11,delete,7/9/2022 16:26,7/9/2022 16:26,3,SH,zhang,a,B
12,create,7/9/2022 21:58,7/9/2022 21:59,1,SH,wang,c,B
12,read,7/9/2022 22:12,7/9/2022 22:27,1,BJ,wang,b,B
12,copy,7/9/2022 22:28,7/9/2022 22:28,1,SH,zhang,a,B
12,move,7/9/2022 22:35,7/9/2022 22:36,1,SH,li,b,A
12,write,7/9/2022 22:45,7/9/2022 22:47,1,SH,zhang,a,B
12,copy,7/9/2022 22:49,7/9/2022 22:50,1,BJ,wang,a,B
12,modify,7/9/2022 22:56,7/9/2022 22:59,1,BJ,li,c,B
12,read,7/9/2022 23:10,7/9/2022 23:26,1,BJ,zhang,a,B
12,modify,7/9/2022 23:26,7/9/2022 23:29,1,BJ,zhao,b,B
12,write,7/9/2022 23:31,7/9/2022 23:34,1,BJ,liu,b,B
12,modify,7/9/2022 23:44,7/9/2022 23:46,1,SH,liu,b,B
12,read,7/10/2022 0:06,7/10/2022 0:29,1,BJ,wang,a,B
12,delete,7/10/2022 0:36,7/10/2022 0:37,1,SH,li,a,B
13,create,7/9/2022 23:02,7/9/2022 23:04,2,SH,li,a,B
13,modify,7/9/2022 23:05,7/9/2022 23:07,2,BJ,wang,b,B
13,read,7/9/2022 23:27,7/9/2022 23:40,2,BJ,zhao,a,B
13,copy,7/9/2022 23:42,7/9/2022 23:43,2,BJ,zhao,a,B
13,read,7/10/2022 0:02,7/10/2022 0:14,2,BJ,wang,b,A
13,delete,7/10/2022 0:18,7/10/2022 0:18,2,SH,wang,a,B
14,create,7/10/2022 6:06,7/10/2022 6:08,5,BJ,li,b,B
14,read,7/10/2022 6:31,7/10/2022 6:54,5,BJ,wang,b,B
14,delete,7/10/2022 6:57,7/10/2022 6:57,5,SH,liu,b,A
15,create,7/10/2022 7:35,7/10/2022 7:37,3,BJ,liu,a,A
15,copy,7/10/2022 7:44,7/10/2022 7:45,3,SH,zhang,c,A
15,write,7/10/2022 7:46,7/10/2022 7:49,3,SH,liu,c,B
15,modify,7/10/2022 7:56,7/10/2022 7:59,3,BJ,zhang,a,A
15,copy,7/10/2022 7:59,7/10/2022 8:00,3,BJ,zhao,b,B
15,rename,7/10/2022 8:07,7/10/2022 8:07,3,BJ,zhao,b,A
15,read,7/10/2022 8:32,7/10/2022 8:54,3,SH,zhao,b,B
15,modify,7/10/2022 9:00,7/10/2022 9:02,3,SH,li,b,B
15,copy,7/10/2022 9:10,7/10/2022 9:11,3,SH,zhang,a,A
15,move,7/10/2022 9:21,7/10/2022 9:23,3,BJ,li,c,A
15,modify,7/10/2022 9:33,7/10/2022 9:35,3,SH,zhao,a,A
15,write,7/10/2022 9:45,7/10/2022 9:48,3,SH,wang,c,A
15,move,7/10/2022 9:56,7/10/2022 9:58,3,SH,zhang,c,A
15,rename,7/10/2022 10:02,7/10/2022 10:03,3,BJ,wang,b,A
15,write,7/10/2022 10:12,7/10/2022 10:16,3,SH,wang,a,B
15,move,7/10/2022 10:24,7/10/2022 10:27,3,BJ,li,c,B
15,rename,7/10/2022 10:27,7/10/2022 10:27,3,BJ,wang,a,B
15,modify,7/10/2022 10:28,7/10/2022 10:30,3,BJ,zhang,b,A
15,copy,7/10/2022 10:34,7/10/2022 10:35,3,BJ,zhao,b,B
15,read,7/10/2022 10:58,7/10/2022 11:19,3,BJ,zhao,c,A
15,move,7/10/2022 11:29,7/10/2022 11:31,3,BJ,zhang,a,B
15,write,7/10/2022 11:36,7/10/2022 11:39,3,SH,li,c,B
15,read,7/10/2022 11:46,7/10/2022 12:06,3,BJ,li,b,A
15,copy,7/10/2022 12:12,7/10/2022 12:13,3,SH,zhang,c,B
15,modify,7/10/2022 12:16,7/10/2022 12:18,3,SH,zhao,c,A
15,rename,7/10/2022 12:20,7/10/2022 12:20,3,SH,zhao,a,A
15,read,7/10/2022 12:26,7/10/2022 12:36,3,SH,liu,b,A
15,copy,7/10/2022 12:41,7/10/2022 12:42,3,BJ,zhang,c,B
15,delete,7/10/2022 12:43,7/10/2022 12:43,3,SH,zhao,c,B
16,create,7/10/2022 10:41,7/10/2022 10:42,1,BJ,li,a,B
16,copy,7/10/2022 10:43,7/10/2022 10:44,1,SH,zhao,c,B
16,modify,7/10/2022 10:50,7/10/2022 10:53,1,SH,li,c,B
16,move,7/10/2022 10:56,7/10/2022 10:58,1,BJ,zhang,a,A
16,read,7/10/2022 11:18,7/10/2022 11:30,1,SH,liu,a,B
16,modify,7/10/2022 11:37,7/10/2022 11:40,1,BJ,zhang,a,B
16,write,7/10/2022 11:47,7/10/2022 11:51,1,BJ,li,b,B
16,rename,7/10/2022 11:55,7/10/2022 11:55,1,SH,wang,a,A
16,modify,7/10/2022 12:01,7/10/2022 12:04,1,SH,wang,c,B
16,read,7/10/2022 12:11,7/10/2022 12:30,1,SH,zhao,b,A
16,copy,7/10/2022 12:39,7/10/2022 12:39,1,BJ,li,c,A
16,move,7/10/2022 12:45,7/10/2022 12:47,1,BJ,zhao,c,B
16,modify,7/10/2022 12:48,7/10/2022 12:52,1,SH,zhang,a,A
17,create,7/10/2022 12:47,7/10/2022 12:49,5,BJ,li,c,A
17,move,7/10/2022 12:59,7/10/2022 13:01,5,SH,zhang,b,B
17,rename,7/10/2022 13:05,7/10/2022 13:06,5,BJ,li,c,B
17,read,7/10/2022 13:21,7/10/2022 13:41,5,BJ,zhao,a,B
17,move,7/10/2022 13:45,7/10/2022 13:46,5,SH,zhang,c,B
17,write,7/10/2022 13:51,7/10/2022 13:55,5,BJ,zhang,b,B
17,copy,7/10/2022 14:03,7/10/2022 14:04,5,SH,liu,b,A
17,read,7/10/2022 14:18,7/10/2022 14:39,5,SH,zhao,a,A
17,modify,7/10/2022 14:42,7/10/2022 14:44,5,SH,zhao,b,B
17,rename,7/10/2022 14:48,7/10/2022 14:48,5,SH,li,c,A
17,read,7/10/2022 15:06,7/10/2022 15:17,5,BJ,li,c,B
17,write,7/10/2022 15:25,7/10/2022 15:28,5,SH,zhao,b,A
17,modify,7/10/2022 15:34,7/10/2022 15:37,5,BJ,zhao,b,B
17,read,7/10/2022 16:03,7/10/2022 16:26,5,SH,liu,b,B
17,modify,7/10/2022 16:38,7/10/2022 16:41,5,SH,zhang,b,B
17,write,7/10/2022 16:47,7/10/2022 16:50,5,BJ,liu,a,B
17,read,7/10/2022 17:03,7/10/2022 17:18,5,SH,zhang,b,B
17,modify,7/10/2022 17:23,7/10/2022 17:26,5,BJ,zhang,a,B
17,write,7/10/2022 17:29,7/10/2022 17:33,5,SH,zhang,a,B
17,read,7/10/2022 17:44,7/10/2022 17:53,5,SH,li,a,B
17,delete,7/10/2022 18:01,7/10/2022 18:01,5,BJ,li,c,A
18,create,7/11/2022 3:03,7/11/2022 3:05,1,BJ,liu,a,A
18,read,7/11/2022 3:05,7/11/2022 3:23,1,BJ,li,c,B
18,delete,7/11/2022 3:29,7/11/2022 3:29,1,BJ,zhang,b,B
19,create,7/11/2022 3:23,7/11/2022 3:24,3,SH,zhang,a,B
19,move,7/11/2022 3:29,7/11/2022 3:31,3,SH,zhao,c,A
19,modify,7/11/2022 3:31,7/11/2022 3:34,3,SH,li,b,A
19,move,7/11/2022 3:38,7/11/2022 3:40,3,SH,wang,c,B
19,write,7/11/2022 3:50,7/11/2022 3:53,3,SH,zhao,b,A
19,rename,7/11/2022 3:56,7/11/2022 3:56,3,SH,zhang,c,B
19,modify,7/11/2022 4:01,7/11/2022 4:03,3,BJ,zhang,a,B
19,move,7/11/2022 4:04,7/11/2022 4:06,3,SH,li,c,A
20,create,7/11/2022 4:46,7/11/2022 4:47,5,BJ,li,a,A
20,modify,7/11/2022 4:49,7/11/2022 4:51,5,SH,liu,a,A
20,write,7/11/2022 4:53,7/11/2022 4:56,5,SH,li,a,A
20,rename,7/11/2022 4:57,7/11/2022 4:58,5,BJ,liu,a,B
20,modify,7/11/2022 4:59,7/11/2022 5:02,5,SH,li,b,B
20,move,7/11/2022 5:04,7/11/2022 5:06,5,BJ,li,a,B
20,write,7/11/2022 5:11,7/11/2022 5:14,5,BJ,zhao,c,A
20,move,7/11/2022 5:22,7/11/2022 5:24,5,SH,zhang,b,B
20,read,7/11/2022 5:25,7/11/2022 5:39,5,SH,zhang,c,A
20,copy,7/11/2022 5:40,7/11/2022 5:41,5,BJ,li,c,B
20,delete,7/11/2022 5:45,7/11/2022 5:45,5,SH,liu,b,A
21,create,7/11/2022 5:25,7/11/2022 5:26,3,SH,zhang,c,A
21,copy,7/11/2022 5:30,7/11/2022 5:30,3,BJ,zhao,a,B
21,delete,7/11/2022 5:31,7/11/2022 5:32,3,BJ,zhang,c,A
22,create,7/11/2022 10:20,7/11/2022 10:22,5,BJ,zhang,b,A
22,move,7/11/2022 10:25,7/11/2022 10:28,5,SH,zhang,c,A
22,read,7/11/2022 10:48,7/11/2022 11:06,5,BJ,zhao,b,A
22,move,7/11/2022 11:14,7/11/2022 11:16,5,SH,li,a,A
22,modify,7/11/2022 11:21,7/11/2022 11:24,5,BJ,liu,b,A
22,write,7/11/2022 11:35,7/11/2022 11:39,5,BJ,zhao,a,B
22,read,7/11/2022 11:51,7/11/2022 12:04,5,BJ,wang,b,A
22,move,7/11/2022 12:10,7/11/2022 12:11,5,BJ,zhang,c,B
22,read,7/11/2022 12:21,7/11/2022 12:35,5,BJ,liu,c,B
22,modify,7/11/2022 12:38,7/11/2022 12:40,5,BJ,wang,a,B
22,copy,7/11/2022 12:49,7/11/2022 12:49,5,BJ,zhang,a,A
22,read,7/11/2022 13:15,7/11/2022 13:34,5,SH,liu,c,B
22,write,7/11/2022 13:45,7/11/2022 13:48,5,BJ,liu,a,B
22,modify,7/11/2022 13:53,7/11/2022 13:55,5,BJ,liu,c,B
22,rename,7/11/2022 13:58,7/11/2022 13:58,5,BJ,zhao,a,A
22,read,7/11/2022 13:58,7/11/2022 14:19,5,SH,li,c,B
22,delete,7/11/2022 14:27,7/11/2022 14:27,5,SH,li,b,B
23,create,7/11/2022 14:36,7/11/2022 14:38,4,SH,wang,a,A
23,move,7/11/2022 14:47,7/11/2022 14:49,4,BJ,wang,c,A
23,write,7/11/2022 14:55,7/11/2022 14:59,4,BJ,liu,a,B
23,move,7/11/2022 15:03,7/11/2022 15:05,4,SH,wang,c,B
23,rename,7/11/2022 15:07,7/11/2022 15:07,4,BJ,zhang,a,B
23,modify,7/11/2022 15:11,7/11/2022 15:13,4,SH,wang,a,A
23,read,7/11/2022 15:23,7/11/2022 15:33,4,BJ,wang,c,A
23,delete,7/11/2022 15:39,7/11/2022 15:39,4,SH,liu,c,B
24,create,7/11/2022 19:37,7/11/2022 19:38,5,BJ,li,c,B
24,move,7/11/2022 19:43,7/11/2022 19:45,5,SH,wang,c,B
24,rename,7/11/2022 19:46,7/11/2022 19:46,5,SH,wang,c,A
24,modify,7/11/2022 19:48,7/11/2022 19:50,5,SH,wang,a,B
24,rename,7/11/2022 19:51,7/11/2022 19:51,5,BJ,zhao,c,B
24,write,7/11/2022 20:00,7/11/2022 20:04,5,BJ,wang,a,A
24,read,7/11/2022 20:10,7/11/2022 20:19,5,BJ,zhang,b,A
24,move,7/11/2022 20:21,7/11/2022 20:23,5,BJ,zhao,b,B
24,read,7/11/2022 20:25,7/11/2022 20:39,5,BJ,zhang,a,A
25,create,7/12/2022 10:04,7/12/2022 10:06,4,SH,liu,a,A
25,copy,7/12/2022 10:14,7/12/2022 10:15,4,SH,wang,b,A
25,move,7/12/2022 10:16,7/12/2022 10:18,4,BJ,liu,b,B
25,modify,7/12/2022 10:19,7/12/2022 10:22,4,BJ,li,b,B
25,copy,7/12/2022 10:25,7/12/2022 10:26,4,BJ,zhang,b,B
25,modify,7/12/2022 10:31,7/12/2022 10:33,4,BJ,zhang,a,A
25,move,7/12/2022 10:44,7/12/2022 10:47,4,BJ,wang,b,B
25,read,7/12/2022 11:02,7/12/2022 11:25,4,BJ,wang,b,B
25,delete,7/12/2022 11:29,7/12/2022 11:29,4,BJ,liu,a,A
26,create,7/12/2022 12:44,7/12/2022 12:46,3,SH,wang,c,B
26,read,7/12/2022 12:47,7/12/2022 13:03,3,BJ,zhang,a,B
26,modify,7/12/2022 13:11,7/12/2022 13:14,3,SH,zhao,a,B
26,rename,7/12/2022 13:15,7/12/2022 13:15,3,BJ,wang,b,B
26,modify,7/12/2022 13:16,7/12/2022 13:19,3,SH,wang,b,B
26,move,7/12/2022 13:20,7/12/2022 13:22,3,BJ,zhao,c,B
26,read,7/12/2022 13:37,7/12/2022 13:51,3,BJ,zhang,c,B
26,move,7/12/2022 14:02,7/12/2022 14:05,3,SH,liu,b,B
26,read,7/12/2022 14:36,7/12/2022 15:01,3,BJ,zhao,c,B
26,delete,7/12/2022 15:03,7/12/2022 15:03,3,BJ,wang,a,A
27,create,7/12/2022 14:13,7/12/2022 14:16,5,BJ,li,c,A
27,copy,7/12/2022 14:21,7/12/2022 14:22,5,BJ,li,b,A
27,modify,7/12/2022 14:23,7/12/2022 14:26,5,SH,zhao,c,B
27,rename,7/12/2022 14:33,7/12/2022 14:33,5,BJ,li,c,B
27,read,7/12/2022 14:43,7/12/2022 15:03,5,SH,zhang,c,A
27,delete,7/12/2022 15:11,7/12/2022 15:11,5,SH,zhang,c,A
28,create,7/12/2022 15:42,7/12/2022 15:43,4,BJ,liu,b,A
28,write,7/12/2022 15:54,7/12/2022 15:58,4,SH,wang,c,B
28,rename,7/12/2022 15:59,7/12/2022 16:00,4,SH,wang,b,B
28,modify,7/12/2022 16:07,7/12/2022 16:10,4,BJ,wang,b,A
28,rename,7/12/2022 16:10,7/12/2022 16:11,4,BJ,liu,a,A
28,modify,7/12/2022 16:14,7/12/2022 16:17,4,SH,li,a,A
28,modify,7/12/2022 16:24,7/12/2022 16:26,4,BJ,wang,b,A
29,create,7/12/2022 20:54,7/12/2022 20:56,1,SH,wang,c,B
29,read,7/12/2022 21:09,7/12/2022 21:28,1,BJ,zhao,b,B
29,delete,7/12/2022 21:32,7/12/2022 21:32,1,BJ,zhang,a,A
30,create,7/13/2022 4:20,7/13/2022 4:22,1,SH,zhao,a,B
30,modify,7/13/2022 4:30,7/13/2022 4:32,1,BJ,zhang,c,B
30,move,7/13/2022 4:34,7/13/2022 4:36,1,SH,zhao,c,B
30,rename,7/13/2022 4:38,7/13/2022 4:38,1,BJ,zhang,c,B
30,modify,7/13/2022 4:43,7/13/2022 4:46,1,BJ,wang,b,B
30,write,7/13/2022 4:53,7/13/2022 4:56,1,SH,zhao,b,B
30,read,7/13/2022 5:05,7/13/2022 5:24,1,BJ,liu,a,B
30,delete,7/13/2022 5:25,7/13/2022 5:25,1,BJ,zhao,a,B
31,create,7/13/2022 13:12,7/13/2022 13:14,2,SH,liu,b,A
31,write,7/13/2022 13:17,7/13/2022 13:20,2,SH,zhao,a,A
31,move,7/13/2022 13:21,7/13/2022 13:24,2,SH,zhao,c,A
31,modify,7/13/2022 13:30,7/13/2022 13:33,2,BJ,zhao,c,A
31,read,7/13/2022 13:50,7/13/2022 14:04,2,BJ,li,a,A
31,write,7/13/2022 14:14,7/13/2022 14:18,2,BJ,wang,c,B
31,move,7/13/2022 14:27,7/13/2022 14:30,2,BJ,zhang,a,A
31,rename,7/13/2022 14:33,7/13/2022 14:33,2,SH,wang,a,A
31,write,7/13/2022 14:39,7/13/2022 14:43,2,BJ,zhang,b,B
31,move,7/13/2022 14:43,7/13/2022 14:45,2,BJ,li,a,A
